,names,scores,logfoldchanges,pvals,pvals_adj
7451,Hsp68,-1.3553904,-1.4383802,0.1752931984976135,0.1899467075347183
7452,CG1722,-1.3605449,-2.8542993,0.17365752936695333,0.18822555852261766
7453,Indy,-1.3639742,-0.39953128,0.17257568457111605,0.18715490850272687
7454,CG34457,-1.3691609,-24.603035,0.1709489830661246,0.1854918822390301
7455,lncRNA:CR43704,-1.372976,-3.7721047,0.1697598329327752,0.18427693812219825
7456,TyrRII,-1.3853639,-24.587881,0.16594119482357117,0.1803038866349219
7457,Ag5r,-1.391183,-0.6671846,0.1641699529663806,0.17842805621458735
7458,otk2,-1.3915151,-4.8391533,0.16406926379201225,0.17834297603395596
7459,CG13196,-1.4258717,-24.506195,0.15390537574466,0.1675465580018806
7460,Takl2,-1.430244,-1.909187,0.1526470081648555,0.16629038297072063
7461,fipi,-1.4420748,-25.153048,0.14928127290973867,0.16284671752859237
7462,Cyp310a1,-1.4559311,-2.698775,0.14541169136408433,0.15884321322628975
7463,CG14160,-1.458278,-24.633371,0.1447639623072883,0.15817907413559962
7464,Nrt,-1.458278,-24.850782,0.1447639623072883,0.15817907413559962
7465,CG14298,-1.4663794,-24.693413,0.14254494633021578,0.15590425008137795
7466,lncRNA:CR45362,-1.4663794,-24.599382,0.14254494633021578,0.15590425008137795
7467,CG5506,-1.474481,-24.901148,0.1403521360113604,0.15356923982876236
7468,Shmt,-1.482411,-0.4503376,0.13823095314237102,0.15131070775135896
7469,wupA,-1.4848223,-0.6708578,0.13759092080214355,0.15064637429689398
7470,Orcokinin,-1.4947991,-0.810142,0.13496687241910432,0.14790050083762238
7471,msi,-1.5006716,-2.315631,0.1334405009834029,0.14630843743310426
7472,CG44014,-1.5068872,-24.887396,0.13183958528440615,0.1446328407000122
7473,nec,-1.5068872,-24.629967,0.13183958528440615,0.1446328407000122
7474,sage,-1.5162425,-1.4341604,0.12945804362047705,0.14219660076944202
7475,CG31516,-1.5230902,-24.578512,0.12773613044999477,0.1404215279352912
7476,CG15414,-1.5230902,-24.675018,0.12773613044999477,0.1404215279352912
7477,fax,-1.5294021,-1.1220396,0.12616477817124697,0.1387899750469875
7478,lncRNA:CR45617,-1.5311918,-24.681955,0.1257220009428982,0.13832200794920194
7479,CG15739,-1.5311918,-24.825315,0.1257220009428982,0.13832200794920194
7480,CG6836,-1.5392933,-24.818356,0.12373270227950234,0.13630291729308777
7481,CG42540,-1.5419724,-3.748719,0.123080298475754,0.1356593401978294
7482,Ugt304A1,-1.5473949,-24.61216,0.12176805729011406,0.13428737258861267
7483,CG13711,-1.5554965,-24.717604,0.11982788778461924,0.13218436020482113
7484,brk,-1.5757502,-1.3687391,0.11508336623932469,0.12716208689418093
7485,Proc-R,-1.5879025,-24.950676,0.11230836773754621,0.12421655069804478
7486,P5CDh1,-1.5916319,-1.9923009,0.11146744429035922,0.1233207379909604
7487,Sulf1,-1.5934751,-0.519133,0.11105365429134403,0.12288002704084626
7488,yellow-d,-1.5960041,-24.818449,0.11048787039400097,0.12227099005365041
7489,GstS1,-1.6022089,-1.5228552,0.10910942537009258,0.12081273184760251
7490,Cad86C,-1.6056489,-3.3735638,0.10835109040322609,0.11998974934176658
7491,mthl15,-1.6099782,-2.0894778,0.10740260999233954,0.11897249449255816
7492,CG13360,-1.6122072,-24.982418,0.10691685434324111,0.11846738740329332
7493,GC1,-1.6142433,-0.84134096,0.106474658155024,0.11801027771283051
7494,Ldh,-1.6183798,-2.808487,0.10558076687706974,0.11708476014694134
7495,Vdup1,-1.6203088,-24.883764,0.10516596694287761,0.11670606956195802
7496,CG15186,-1.6284103,-24.79433,0.10343791312473365,0.11486253420510598
7497,rho,-1.6365118,-24.941662,0.10173250705008775,0.1130534799792863
7498,CG13160,-1.6459422,-3.311615,0.0997756551670314,0.1108992547685679
7499,E(spl)malpha-BFM,-1.6608164,-24.86931,0.09675030939220057,0.10768224198748767
7500,Toll-7,-1.668918,-24.787067,0.09513362619472499,0.10601631628168806
7501,Psc,-1.6759801,-0.39760903,0.0937420928663359,0.10453878620192904
7502,FucTA,-1.685121,-24.954962,0.09196520641840968,0.1026291472075326
7503,frm,-1.7013242,-25.05401,0.08888212547741212,0.0992860121648734
7504,nub,-1.7013242,-25.25211,0.08888212547741212,0.0992860121648734
7505,CG31313,-1.7068752,-2.1390245,0.08784523983257991,0.09816909068063796
7506,nahoda,-1.7175273,-25.054325,0.08588287234912949,0.0960570237530525
7507,Oct-TyrR,-1.7175273,-25.660704,0.08588287234912949,0.0960570237530525
7508,eyg,-1.7175273,-25.386934,0.08588287234912949,0.0960570237530525
7509,lncRNA:CR44442,-1.7256289,-25.096825,0.08441420834976578,0.09448075998534465
7510,vari,-1.7263254,-1.9548528,0.08428888890977929,0.09436703711252403
7511,ItgaPS4,-1.7277828,-3.5785327,0.08402716915133823,0.09411374039902913
7512,mol,-1.7336553,-2.8547902,0.08297925068965133,0.09300547193901351
7513,Ugt49C1,-1.7337304,-24.864008,0.08296593368382205,0.09300364312528728
7514,Cyp6a15Psi,-1.7366238,-0.9097664,0.08245359797319773,0.09249174498188584
7515,CG4631,-1.7371382,-0.57954496,0.08236278515415182,0.09240561136761972
7516,LysP,-1.7418319,-25.56177,0.08153785902223318,0.09151880129148976
7517,Mes2,-1.7418319,-24.884417,0.08153785902223318,0.09151880129148976
7518,CG43861,-1.7495155,-3.2156723,0.08020194675034259,0.09009559550966502
7519,CG40485,-1.7580351,-24.97453,0.07874155247092028,0.08855503972248899
7520,CG42335,-1.7584208,-3.2485461,0.0786759368717944,0.08849375092744652
7521,CG9394,-1.7641219,-2.164363,0.0777114606712296,0.08745835908969406
7522,comm2,-1.7649256,-0.5341493,0.07757626903042979,0.08733090879960265
7523,Rift,-1.7709374,-0.5010646,0.0765711006667524,0.0862725637325428
7524,Femcoat,-1.7742381,-25.788363,0.07602377487656646,0.08570442269725105
7525,Pgant7,-1.7770457,-1.0351561,0.07556070856922437,0.0852186027352213
7526,CG31140,-1.7774209,-1.4298105,0.0754990232390797,0.08516110061789049
7527,plx,-1.7825646,-3.1865556,0.07465719284619746,0.08427112467790684
7528,CG6006,-1.7934632,-2.692242,0.07289889139363552,0.08239168937829382
7529,CG33124,-1.7985427,-24.943727,0.07209104366342055,0.08154812628157534
7530,Tig,-1.7985427,-25.336674,0.07209104366342055,0.08154812628157534
7531,asRNA:CR43454,-1.7985427,-24.853325,0.07209104366342055,0.08154812628157534
7532,CG13950,-1.8066443,-24.949068,0.07081776172267924,0.08021041206073774
7533,CG32198,-1.8066443,-25.480135,0.07081776172267924,0.08021041206073774
7534,Yp3,-1.8228474,-25.374182,0.06832651229430423,0.07758748913544976
7535,Yp2,-1.8494346,-4.0562396,0.06439508746016337,0.07332196009949074
7536,CR44391,-1.8957613,-24.936256,0.05799162127353843,0.06626781245026452
7537,Meltrin,-1.9004872,-0.51636946,0.05736921893074714,0.06559425563422158
7538,CNT2,-1.9469852,-1.6320393,0.05153649676110721,0.05917180867306005
7539,CG34375,-1.9475533,-3.9137943,0.05146844012065555,0.059102195198427
7540,CG12038,-1.9524721,-25.029575,0.05088218472229614,0.05845428813579027
7541,Orct2,-1.9599735,-3.2931037,0.04999888871297509,0.057530888429459116
7542,Tie,-1.9848782,-25.514254,0.047158020174163554,0.0543721110482642
7543,Wnt4,-1.9929798,-25.946842,0.04626366109691964,0.05339508101368668
7544,CG9336,-2.0062895,-4.634365,0.044825373845810666,0.05183279826221228
7545,CG5958,-2.0334876,-25.191591,0.04200329512913192,0.04868980861240329
7546,E(spl)mbeta-HLH,-2.0496905,-25.247026,0.04039463404254463,0.04692073735327098
7547,Yp1,-2.0577922,-25.555048,0.03961009167322054,0.04604304361430733
7548,EAChm,-2.0577922,-25.74506,0.03961009167322054,0.04604304361430733
7549,D,-2.0820968,-25.468424,0.03733363211896414,0.04346670246267344
7550,beat-IIa,-2.1000466,-0.76608783,0.03572474094832061,0.04167275585632181
7551,pot,-2.114503,-25.610811,0.03447233402814361,0.040264940788082626
7552,CG13947,-2.1226044,-25.60315,0.03378700901820339,0.03951084407521022
7553,CG1572,-2.130149,-1.9340447,0.03315933239001016,0.038799636355791076
7554,AdoR,-2.130706,-25.335876,0.03311336829738809,0.038751550989400356
7555,CG33012,-2.1337495,-1.6258618,0.03286329471149043,0.03846455332481652
7556,vir-1,-2.1349175,-4.196927,0.03276774606338582,0.03835836018804055
7557,Sid,-2.1388075,-25.22359,0.032451256116061686,0.03799905067349344
7558,Ugt303B1,-2.146909,-25.117771,0.03180051788970848,0.03724802382401616
7559,Sox21a,-2.1550107,-25.227102,0.03116100020913189,0.03650970126078032
7560,CG7778,-2.1712136,-25.60343,0.029915018782946334,0.03508600567248304
7561,lncRNA:CR43881,-2.1793153,-25.234995,0.02930825418062221,0.03439970432437283
7562,sens,-2.1793153,-25.64119,0.02930825418062221,0.03439970432437283
7563,tn,-2.1935894,-1.9537402,0.028264938404887183,0.03321432818020037
7564,Poxn,-2.20362,-25.338642,0.02755108511165674,0.0324233456163945
